full_name,type,state,party,marker
Joseph Eggleston,House,VA,Republican,VA9
Thomas Evans,House,VA,Federalist,VA12
Jonathan Freeman,House,NH,Federalist,NH
Albert Gallatin,House,PA,Republican,PA12
Henry Glen,House,NY,Federalist,NY8
Samuel Goode,House,VA,Republican,VA8
Elizur Goodrich,House,CT,Federalist,CT
William Gordon,House,NH,Federalist,NH
Ray Greene,Senate,RI,Federalist,RI
Thomas Hartley,House,PA,Federalist,PA8
Jonathan Havens,House,NY,Republican,NY2
James Imlay,House,NJ,Federalist,NJ4
James Jones,House,GA,Federalist,GA
John Kittera,House,PA,Federalist,PA7
Henry Lee,House,VA,Federalist,VA19
James Linn,House,NJ,Republican,NJ3
Samuel Livermore,Senate,NH,Federalist,NH
Samuel Lyman,House,MA,Federalist,MA3
John Marshall,House,VA,Federalist,VA13
William McMillan,House,OH,,OH
John Nicholas,House,VA,Republican,VA18
Abraham Nott,House,SC,Federalist,SC6
Robert Page,House,VA,Federalist,VA1
Josiah Parker,House,VA,Federalist,VA11
Thomas Pinckney,House,SC,Federalist,SC1
Jonas Platt,House,NY,Federalist,NY9
Leven Powell,House,VA,Federalist,VA17
John Reed,House,MA,Federalist,MA6
Theodore Sedgwick,House,MA,Federalist,MA1
Samuel Sewall,House,MA,Federalist,MA1
Richard Spaight,House,NC,Republican,NC1
George Thatcher,House,MA,Federalist,MA14
John Thomas,House,MD,Federalist,MD2
Richard Thomas,House,PA,Federalist,PA3
Robert Waln,House,PA,Federalist,PA1
Dwight Foster,Senate,MA,Federalist,MA
William Hindman,Senate,MD,Federalist,MD
Gouverneur Morris,Senate,NY,Federalist,NY
John Bacon,House,MA,Republican,MA1
John Bird,House,NY,Federalist,NY
Thomas Boude,House,PA,Federalist,PA7
John Breckinridge,Senate,KY,Republican,KY
Samuel Cabell,House,VA,Republican,VA14
John Colhoun,Senate,SC,Republican,SC
Thomas Davis,House,KY,Republican,KY1
Christopher Ellery,Senate,RI,Republican,RI
Lucas Elmendorf,House,NY,Republican,NY4
Paul Fearing,House,OH,Federalist,OH
Abiel Foster,House,NH,Federalist,NH
Thomas Greene,House,MS,,MS
William Grove,House,NC,Federalist,NC7
Archibald Henderson,House,NC,Federalist,NC2
William Hill,House,NC,Federalist,NC6
Narsworthy Hunter,House,MS,,MS
George Jackson,House,VA,Republican,VA3
James Jackson,Senate,GA,Republican,GA
Charles Johnson,House,NC,Republican,NC8
William Jones,House,PA,Republican,PA1
Silas Lee,House,MA,Federalist,MA12
Levi Lincoln,House,MA,Republican,MA4
George Logan,Senate,PA,Republican,PA
Ebenezer Mattoon,House,MA,Federalist,MA3
Lewis Morris,House,VT,Federalist,VT2
Thomas Morris,House,NY,Federalist,NY1
John Muhlenberg,Senate,PA,Democratic Republican,PA
Aaron Ogden,Senate,NJ,Federalist,NJ
Simeon Olcott,Senate,NH,Federalist,NH
Joseph Peirce,House,NH,Federalist,NH
Elias Perkins,House,CT,Federalist,CT
Nathan Read,House,MA,Federalist,MA1
John Rutledge,House,SC,Federalist,SC2
James Sheafe,Senate,NH,Federalist,NH
William Shepard,House,MA,Federalist,MA2
Josiah Smith,House,MA,Republican,MA6
"Richard, Sprigg",House,MD,Republican,MD2
John Stratton,House,VA,Federalist,VA12
