full_name,type,state,party,marker
Bill Hagerty,Senate,TN,Republican,TN
Jerry Carl,House,AL,Republican,AL1
Barry Moore,House,AL,Republican,AL2
Jay Obernolte,House,CA,Republican,CA23
Young Kim,House,CA,Republican,CA4
Michelle Steel,House,CA,Republican,CA45
Sara Jacobs,House,CA,Democrat,CA51
Lauren Boebert,House,CO,Republican,CO3
Katherine Cammack,House,FL,Republican,FL3
C. Franklin,House,FL,Republican,FL18
Byron Donalds,House,FL,Republican,FL19
Carlos Gimenez,House,FL,Republican,FL28
Maria Salazar,House,FL,Republican,FL27
Nikema Williams,House,GA,Democrat,GA5
Andrew Clyde,House,GA,Republican,GA9
Marjorie Greene,House,GA,Republican,GA14
Ashley Hinson,House,IA,Republican,IA2
Mariannette Miller-Meeks,House,IA,Republican,IA1
Randy Feenstra,House,IA,Republican,IA4
Mary Miller,House,IL,Republican,IL15
Frank Mrvan,House,IN,Democrat,IN1
Victoria Spartz,House,IN,Republican,IN5
Tracey Mann,House,KS,Republican,KS1
Jacob LaTurner,House,KS,Republican,KS2
Jake Auchincloss,House,MA,Democrat,MA4
Lisa McClain,House,MI,Republican,MI9
Michelle Fischbach,House,MN,Republican,MN7
Cori Bush,House,MO,Democrat,MO1
Matthew RoSenatedale,House,MT,Republican,MT2
Deborah Ross,House,NC,Democrat,NC2
Kathy Manning,House,NC,Democrat,NC6
Teresa Leger Fernandez,House,NM,Democrat,NM3
Andrew Garbarino,House,NY,Republican,NY2
Nicole Malliotakis,House,NY,Republican,NY11
Ritchie Torres,House,NY,Democrat,NY15
Jamaal Bowman,House,NY,Democrat,NY16
Stephanie Bice,House,OK,Republican,OK5
Cliff Bentz,House,OR,Republican,OR2
Nancy Mace,House,SC,Republican,SC1
Diana Harshbarger,House,TN,Republican,TN1
Patrick Fallon,House,TX,Republican,TX4
August Pfluger,House,TX,Republican,TX11
Ronny Jackson,House,TX,Republican,TX13
Troy Nehls,House,TX,Republican,TX22
Ernest Gonzales,House,TX,Republican,TX23
Beth Van Duyne,House,TX,Republican,TX24
Blake Moore,House,UT,Republican,UT1
Clarence Owens,House,UT,Republican,UT4
Robert Good,House,VA,Republican,VA5
Marilyn Strickland,House,WA,Democrat,WA1
Scott Fitzgerald,House,WI,Republican,WI5
Alejandro Padilla,Senate,CA,Democrat,CA
Jon Ossoff,Senate,GA,Democrat,GA
Raphael Warnock,Senate,GA,Democrat,GA
Claudia Tenney,House,NY,Republican,NY24
Julia Letlow,House,LA,Republican,LA5
Troy Carter,House,LA,Democrat,LA2
Melanie Stansbury,House,NM,Democrat,NM1
Jake Ellzey,House,TX,Republican,TX6
Shontel Brown,House,OH,Democrat,OH11
Mike Carey,House,OH,Republican,OH15
Sheila Cherfilus-McCormick,House,FL,Democrat,FL2
Mike Flood,House,NE,Republican,NE1
Brad Finstad,House,MN,Republican,MN1
Mary Peltola,House,AK,Democrat,AK
Patrick Ryan,House,NY,Democrat,NY18
Rudy Yakym,House,IN,Republican,IN2
Ryan Zinke,House,MT,Republican,MT1
Katie Britt,Senate,AL,Republican,AL
Eric Schmitt,Senate,MO,Republican,MO
J.D. (James) Vance,Senate,OH,Republican,OH
John Fetterman,Senate,PA,Democrat,PA
Dale Strong,House,AL,Republican,AL5
Eli Crane,House,AZ,Republican,AZ2
Juan Ciscomani,House,AZ,Republican,AZ6
Kevin Kiley,House,CA,Republican,CA3
John Duarte,House,CA,Republican,CA13
Kevin Mullin,House,CA,Democrat,CA15
Sydney Kamlager-Dove,House,CA,Democrat,CA37
Robert Garcia,House,CA,Democrat,CA42
Brittany PetterSenate,House,CO,Democrat,CO7
Yadira Caraveo,House,CO,Democrat,CO8
Aaron Bean,House,FL,Republican,FL4
Cory Mills,House,FL,Republican,FL7
Maxwell Frost,House,FL,Democrat,FL1
Anna Paulina Luna,House,FL,Republican,FL13
Laurel Lee,House,FL,Republican,FL15
Jared Moskowitz,House,FL,Democrat,FL23
Rich McCormick,House,GA,Republican,GA6
Mike Collins,House,GA,Republican,GA1
James (Jim) Moylan,House,GU,Republican,GU
Jill Tokuda,House,HI,Democrat,HI2
Zachary (Zach) Nunn,House,IA,Republican,IA3
Jonathan Jackson,House,IL,Democrat,IL1
Delia Ramirez,House,IL,Democrat,IL3
Nicole (Nikki) Budzinski,House,IL,Democrat,IL13
Eric SorenSenate,House,IL,Democrat,IL17
Erin Houchin,House,IN,Republican,IN9
Morgan McGarvey,House,KY,Democrat,KY3
Glenn Ivey,House,MD,Democrat,MD4
Hillary Scholten,House,MI,Democrat,MI3
John James,House,MI,Republican,MI1
Shri Thanedar,House,MI,Democrat,MI13
Mark Alford,House,MO,Republican,MO4
Eric Burlison,House,MO,Republican,MO7
Mike Ezell,House,MS,Republican,MS4
Donald Davis,House,NC,Democrat,NC1
Valerie Foushee,House,NC,Democrat,NC4
Charles (Chuck) Edwards,House,NC,Republican,NC11
Wiley Nickel,House,NC,Democrat,NC13
Jeffrey Jackson,House,NC,Democrat,NC14
Thomas Kean,House,NJ,Republican,NJ7
Robert Menendez,House,NJ,Democrat,NJ8
Gabriel (Gabe) Vasquez,House,NM,Democrat,NM2
Nicolas LaLota,House,NY,Republican,NY1
Anthony D'Esposito,House,NY,Republican,NY4
Dan Goldman,House,NY,Democrat,NY1
Michael Lawler,House,NY,Republican,NY17
Marcus Molinaro,House,NY,Republican,NY19
Brandon Williams,House,NY,Republican,NY22
Nicholas Langworthy,House,NY,Republican,NY23
Greg Landsman,House,OH,Democrat,OH1
Max Miller,House,OH,Republican,OH7
Emilia Sykes,House,OH,Democrat,OH13
Josh Brecheen,House,OK,Republican,OK2
Valerie Hoyle,House,OR,Democrat,OR4
Lori Chavez-DeRemer,House,OR,Republican,OR5
Andrea Salinas,House,OR,Democrat,OR6
Summer Lee,House,PA,Democrat,PA12
Chris Deluzio,House,PA,Democrat,PA17
Seth Magaziner,House,RI,Democrat,RI2
Russell Fry,House,SC,Republican,SC7
Andrew Ogles,House,TN,Republican,TN5
Nathaniel Moran,House,TX,Republican,TX1
Keith Self,House,TX,Republican,TX3
Morgan Luttrell,House,TX,Republican,TX8
Mónica De La Cruz,House,TX,Republican,TX15
Jasmine Crockett,House,TX,Democrat,TX3
Gregorio Casar,House,TX,Democrat,TX35
Wesley Hunt,House,TX,Republican,TX38
Jennifer Kiggans,House,VA,Republican,VA2
Becca Balint,House,VT,Democrat,VT
Marie GlueSenatekamp Perez,House,WA,Democrat,WA3
Derrick Van Orden,House,WI,Republican,WI3
Harriet Hageman,House,WY,Republican,WY
Pete Ricketts,Senate,NE,Republican,NE
Jennifer McClellan,House,VA,Democrat,VA4
Laphonza Butler,Senate,CA,Democrat,CA
Gabe Amo,House,RI,Democrat,RI1
Celeste Maloy,House,UT,Republican,UT2
