full_name,type,state,party,marker
Raphael Musto,House,PA,Democrat,PA11
Michael Myers,House,PA,Democrat,PA1
Lucien Nedzi,House,MI,Democrat,MI14
Harold Runnels,House,NM,Democrat,NM2
John Tower,Senate,TX,Republican,TX
David Treen,House,LA,Republican,LA3
Paul Tsongas,Senate,MA,Democrat,MA
Joseph Wyatt,House,TX,Democrat,TX14
John Wydler,House,NY,Republican,NY5
Mark Andrews,Senate,ND,Republican,ND
Jean Ashbrook,House,OH,Republican,OH17
John Ashbrook,House,OH,Republican,OH17
Eugene Atkinson,House,PA,Republican,PA25
Louis Bafalis,House,FL,Republican,FL1
Donald Bailey,House,PA,Democrat,PA21
R. Bailey,House,MO,Republican,MO8
Robin Beard,House,TN,Republican,TN6
Cleveland Benedict,House,WV,Republican,WV2
Adam Benjamin,House,IN,Democrat,IN1
James Blanchard,House,MI,Democrat,MI18
David Bowen,House,MS,Democrat,MS2
Jack Brinkley,House,GA,Democrat,GA3
William Brodhead,House,MI,Democrat,MI17
Clarence Brown,House,OH,Republican,OH7
John Burton,House,CA,Democrat,CA5
Manley Butler,House,VA,Republican,VA6
Gregory Carman,House,NY,Republican,NY3
Shirley Chisholm,House,NY,Democrat,NY12
William Cotter,House,CT,Democrat,CT1
James Coyne,House,PA,Republican,PA8
Robert Daniel,House,VA,Republican,VA4
Lawrence DeNardis,House,CT,Republican,CT3
Huey Deckard,House,IN,Republican,IN8
Jeremiah Denton,Senate,AL,Republican,AL
Edward Derwinski,House,IL,Republican,IL4
Charles Dougherty,House,PA,Republican,PA4
James Dunn,House,MI,Republican,MI6
Thomas Eagleton,Senate,MO,Democrat,MO
John East,Senate,NC,Republican,NC
David Emery,House,ME,Republican,ME1
Arlen Erdahl,House,MN,Republican,MN1
Allen Ertel,House,PA,Democrat,PA17
Billy Evans,House,GA,Democrat,GA8
David Evans,House,IN,Democrat,IN6
Thomas Evans,House,DE,Republican,DE
Floyd Fithian,House,IN,Democrat,IN2
Ronald Ginn,House,GA,Democrat,GA1
Barry Goldwater,House,CA,Republican,CA2
Thomas Hagedorn,House,MN,Republican,MN2
Gary Hart,Senate,CO,Democrat,CO
Paula Hawkins,Senate,FL,Republican,FL
Margaret Heckler,House,MA,Republican,MA1
Jon Hinson,House,MS,Republican,MS4
Kenneth Holland,House,SC,Democrat,SC5
Harold Hollenbeck,House,NJ,Republican,NJ9
James Jeffries,House,KS,Republican,KS2
Walter Johnston,House,NC,Republican,NC6
John LeBoutillier,House,NY,Republican,NY6
Raymond Lederer,House,PA,Democrat,PA3
Gary Lee,House,NY,Republican,NY33
Marc Marks,House,PA,Republican,PA24
Mack Mattingly,Senate,GA,Republican,GA
James Mattox,House,TX,Democrat,TX5
Paul McCloskey,House,CA,Republican,CA12
Anthony Moffett,House,CT,Democrat,CT6
Ronald Mottl,House,OH,Democrat,OH23
John Napier,House,SC,Republican,SC6
James Nelligan,House,PA,Republican,PA11
Thomas Railsback,House,IL,Republican,IL19
Clint Roberts,House,SD,Republican,SD2
John Rousselot,House,CA,Republican,CA26
James Santini,House,NV,Democrat,NV
Robert Shamansky,House,OH,Democrat,OH12
Albert Smith,House,AL,Republican,AL6
John Stanton,House,OH,Republican,OH11
David Staton,House,WV,Republican,WV3
David Stockman,House,MI,Republican,MI4
William Wampler,House,VA,Republican,VA9
Edward Weber,House,OH,Republican,OH9
Leo Zeferetti,House,NY,Democrat,NY15
Nicholas Brady,Senate,NJ,Republican,NJ
Donald Albosta,House,MI,Democrat,MI1
Ike Andrews,House,NC,Democrat,NC4
Edwin Bethune,House,AR,Republican,AR2
Charles Britt,House,NC,Democrat,NC6
Phillip Burton,House,CA,Democrat,CA5
Lawton Chiles,Senate,FL,Democrat,FL
Thomas Corcoran,House,IL,Republican,IL14
Baltasar Corrada-del Río,House,PR,New Progressive,PR
Daniel Crane,House,IL,Republican,IL19
Norman D’Amours,House,NH,Democrat,NH1
William Edwards,House,AL,Republican,AL1
John Erlenborn,House,IL,Republican,IL13
Daniel Evans,Senate,WA,Republican,WA
Geraldine Ferraro,House,NY,Democrat,NY9
Katie Hall,House,IN,Democrat,IN1
Kent Hance,House,TX,Democrat,TX19
George HanSenate,House,ID,Republican,ID2
Frank Harrison,House,PA,Democrat,PA11
Jacob Hecht,Senate,NV,Republican,NV
Jack Hightower,House,TX,Democrat,TX13
Raymond Kogovsek,House,CO,Democrat,CO3
Elliott Levitas,House,GA,Democrat,GA4
David Marriott,House,UT,Republican,UT2
James Martin,House,NC,Republican,NC9
Lawrence McDonald,House,GA,Democrat,GA7
James McNulty,House,AZ,Democrat,AZ5
John Melcher,Senate,MT,Democrat,MT
Richard Ottinger,House,NY,Democrat,NY2
William Patman,House,TX,Democrat,TX14
Jerry Patterson,House,CA,Democrat,CA38
Joel Pritchard,House,WA,Republican,WA1
William Ratchford,House,CT,Democrat,CT5
James Shannon,House,MA,Democrat,MA5
Paul Trible,Senate,VA,Republican,VA
Tommy Vandergriff,House,TX,Democrat,TX26
Lowell Weicker,Senate,CT,Republican,CT
Lyle Williams,House,OH,Republican,OH17
Edward Zorinsky,Senate,NE,Democrat,NE
Joseph Addabbo,House,NY,Democrat,NY6
William Armstrong,Senate,CO,Republican,CO
Michael Barnes,House,MD,Democrat,MD8
Rudolph Boschwitz,Senate,MN,Republican,MN
Carroll Campbell,House,SC,Republican,SC4
William Carney,House,NY,Republican,NY1
William Cobey,House,NC,Republican,NC4
Fred Eckert,House,NY,Republican,NY3
Robert Edgar,House,PA,Democrat,PA7
Thomas Evans,House,IA,Republican,IA3
Bobbi Fiedler,House,CA,Republican,CA21
William Franklin,House,MS,Republican,MS2
Don Fuqua,House,FL,Democrat,FL2
John Grotberg,House,IL,Republican,IL14
Sam Hall,House,TX,Democrat,TX1
Thomas Hartnett,House,SC,Republican,SC1
Cecil Heftel,House,HI,Democrat,HI1
William Hendon,House,NC,Republican,NC11
Elwood Hillis,House,IN,Republican,IN5
Gordon Humphrey,Senate,NH,Republican,NH
James Jones,House,OK,Democrat,OK1
Thomas Kindness,House,OH,Republican,OH8
Kenneth Kramer,House,CO,Republican,CO5
Thomas Loeffler,House,TX,Republican,TX21
Catherine Long,House,LA,Democrat,LA8
Stanley Lundine,House,NY,Democrat,NY34
James McClure,Senate,ID,Republican,ID
John McKernan,House,ME,Republican,ME1
David Monson,House,UT,Republican,UT2
William Moore,House,LA,Republican,LA6
Mark Siljander,House,MI,Republican,MI4
Marion Snyder,House,KY,Republican,KY4
Michael Strang,House,CO,Republican,CO3
Alton Waldon,House,NY,Democrat,NY6
James Weaver,House,OR,Democrat,OR4
George Whitehurst,House,VA,Republican,VA2
Charles Whitley,House,NC,Democrat,NC3
Edwin Zschau,House,CA,Republican,CA12
James Broyhill,Senate,NC,Republican,NC
Brockman Adams,Senate,WA,Democrat,WA
Robert Badham,House,CA,Republican,CA4
William Boner,House,TN,Democrat,TN5
Don Bonker,House,WA,Democrat,WA3
Eldon Boulter,House,TX,Republican,TX13
Sala Burton,House,CA,Democrat,CA5
Harold Daub,House,NE,Republican,NE2
Jack Davis,House,IL,Republican,IL4
Joseph DioGuardi,House,NY,Republican,NY2
Alan Dixon,Senate,IL,Democrat,IL
Charles Dowdy,House,MS,Democrat,MS4
Wyche Fowler,Senate,GA,Democrat,GA
Edwin Garn,Senate,UT,Republican,UT
Kenneth Gray,House,IL,Democrat,IL22
James Howard,House,NJ,Democrat,NJ3
David Karnes,Senate,NE,Republican,NE
Robert Kasten,Senate,WI,Republican,WI
Jack Kemp,House,NY,Republican,NY31
Ernest Konnyu,House,CA,Republican,CA12
Michael Lowry,House,WA,Democrat,WA7
Manuel Luján,House,NM,Republican,NM1
Kenneth MacKay,House,FL,Democrat,FL6
Stewart McKinney,House,CT,Republican,CT4
Daniel Mica,House,FL,Democrat,FL14
James Quayle,Senate,IN,Republican,IN
Charles Roemer,House,LA,Democrat,LA4
Warren Rudman,Senate,NH,Republican,NH
Fernand St. Germain,House,RI,Democrat,RI1
Fofó Sunia,House,AS,Democrat,AS
David Sweeney,House,TX,Republican,TX14
Patrick Swindall,House,GA,Republican,GA4
Steven Symms,Senate,ID,Republican,ID
Gene Taylor,House,MO,Republican,MO7
Timothy Wirth,Senate,CO,Democrat,CO
George Wortley,House,NY,Republican,NY27
Jim Bates,House,CA,Democrat,CA44
Douglas Bosco,House,CA,Democrat,CA1
Joseph Brennan,House,ME,Democrat,ME1
John Buechner,House,MO,Republican,MO2
Richard Cheney,House,WY,Republican,WY
Anthony Coelho,House,CA,Democrat,CA15
James Courter,House,NJ,Republican,NJ12
John Danforth,Senate,MO,Republican,MO
Dennis DeConcini,Senate,AZ,Democrat,AZ
Charles Douglas,House,NH,Republican,NH2
David Durenberger,Senate,MN,Republican,MN
Royden Dyson,House,MD,Democrat,MD1
Walter Fauntroy,House,DC,Democrat,DC
Ronnie Flippo,House,AL,Democrat,AL5
James Florio,House,NJ,Democrat,NJ1
William Frenzel,House,MN,Republican,MN3
Robert Garcia,House,NY,Democrat,NY18
James Grant,House,FL,Republican,FL2
Henry Heinz,Senate,PA,Republican,PA
John Hiler,House,IN,Republican,IN3
Robert Kastenmeier,House,WI,Democrat,WI2
James Leath,House,TX,Democrat,TX11
George Leland,House,TX,Democrat,TX18
Thomas Luken,House,OH,Democrat,OH1
Donald Lukens,House,OH,Republican,OH8
Lynn Martin,House,IL,Republican,IL16
George Mitchell,Senate,ME,Democrat,ME
Guy Molinari,House,NY,Republican,NY14
Bruce Morrison,House,CT,Democrat,CT3
Howard Nielson,House,UT,Republican,UT3
Stanford Parris,House,VA,Republican,VA8
Charles Pashayan,House,CA,Republican,CA17
Donald Riegle,Senate,MI,Democrat,MI
Tommy Robinson,House,AR,Republican,AR2
John Rowland,House,CT,Republican,CT5
Patricia Saiki,House,HI,Republican,HI1
James Sasser,Senate,TN,Democrat,TN
Claudine Schneider,House,RI,Republican,RI2
Bill Schuette,House,MI,Republican,MI1
Norman Shumway,House,CA,Republican,CA14
Dennis Smith,House,OR,Republican,OR5
Larkin Smith,House,MS,Republican,MS5
Peter Smith,House,VT,Republican,VT
Arlan Stangeland,House,MN,Republican,MN7
Thomas Tauke,House,IA,Republican,IA2
Douglas Walgren,House,PA,Democrat,PA18
Malcolm Wallop,Senate,WY,Republican,WY
Robert Whittaker,House,KS,Republican,KS5
Pete Wilson,Senate,CA,Republican,CA
George Bush,House,TX,Republican,TX7
William Alexander,House,AR,Democrat,AR1
Beryl Anthony,House,AR,Democrat,AR4
Chester Atkins,House,MA,Democrat,MA5
Les AuCoin,House,OR,Democrat,OR1
Harry Bartlett,House,TX,Republican,TX3
Ben Blaz,House,GU,Republican,GU
David Boren,Senate,OK,Democrat,OK
William Bradley,Senate,NJ,Democrat,NJ
George Brown,Senate,CO,Republican,CO
Terry Bruce,House,IL,Democrat,IL19
Albert Bustamante,House,TX,Democrat,TX23
Beverly Byron,House,MD,Democrat,MD6
Rodney Chandler,House,WA,Republican,WA8
William Cohen,Senate,ME,Republican,ME
Earl Coleman,House,MO,Republican,MO6
Antonio Colorado,House,PR,Democrat,PR
Robert Coughlin,House,PA,Republican,PA13
John Cox,House,IL,Democrat,IL16
William Dannemeyer,House,CA,Republican,CA39
Robert Davis,House,MI,Republican,MI11
William Dickinson,House,AL,Republican,AL2
Brian Donnelly,House,MA,Democrat,MA11
Thomas Downey,House,NY,Democrat,NY2
Mervyn Dymally,House,CA,Democrat,CA31
Joseph Early,House,MA,Democrat,MA3
Dennis Eckart,House,OH,Democrat,OH11
Marvin Edwards,House,OK,Republican,OK5
Ben Erdreich,House,AL,Democrat,AL6
Edward Feighan,House,OH,Democrat,OH19
Jaime Fuster,House,PR,Democrat,PR
Joseph Gaydos,House,PA,Democrat,PA2
Albert Gore,Senate,TN,Democrat,TN
William Gray,House,PA,Democrat,PA2
Sedgwick Green,House,NY,Republican,NY15
Frank Guarini,House,NJ,Democrat,NJ14
Claude Harris,House,AL,Democrat,AL7
Charles Hatcher,House,GA,Democrat,GA2
Dennis Hertel,House,MI,Democrat,MI14
Clyde Holloway,House,LA,Republican,LA8
Larry Hopkins,House,KY,Republican,KY6
Joan Horn,House,MO,Democrat,MO2
Carroll Hubbard,House,KY,Democrat,KY1
Thomas Huckaby,House,LA,Democrat,LA5
Andrew Ireland,House,FL,Republican,FL1
Craig James,House,FL,Republican,FL4
Edgar Jenkins,House,GA,Democrat,GA9
John Johnston,Senate,LA,Democrat,LA
Ben Jones,House,GA,Democrat,GA4
James Jontz,House,IN,Democrat,IN5
Nancy Kassebaum,Senate,KS,Republican,KS
Joseph Kolter,House,PA,Democrat,PA4
Peter Kostmayer,House,PA,Democrat,PA8
Robert Lagomarsino,House,CA,Republican,CA19
Norman Lent,House,NY,Republican-Conservative,NY4
Meldon Levine,House,CA,Democrat,CA27
William Lowery,House,CA,Republican,CA41
Charles Luken,House,OH,Democrat,OH1
Edward Madigan,House,IL,Republican,IL15
Ronald Marlenee,House,MT,Republican,MT2
David Martin,House,NY,Republican,NY26
Nicholas Mavroules,House,MA,Democrat,MA6
Bob McEwen,House,OH,Republican,OH6
Raymond McGrath,House,NY,Republican,NY5
Matthew McHugh,House,NY,Democrat,NY28
Charles McMillen,House,MD,Democrat,MD4
John Miller,House,WA,Republican,WA1
Jim Moody,House,WI,Democrat,WI5
Sidney Morrison,House,WA,Republican,WA4
Robert Mrazek,House,NY,Democrat,NY3
David Nagle,House,IA,Democrat,IA3
Richard Nichols,House,KS,Republican,KS5
Henry Nowak,House,NY,Democrat,NY33
Samuel Nunn,Senate,GA,Democrat,GA
Mary Oakar,House,OH,Democrat,OH2
Douglas Owens,House,UT,Democrat,UT2
Elizabeth Patterson,House,SC,Democrat,SC4
Donald Pease,House,OH,Democrat,OH13
Carl Perkins,House,KY,Democrat,KY7
Larry Pressler,Senate,SD,Republican,SD
David Pryor,Senate,AR,Democrat,AR
Carl Pursell,House,MI,Republican,MI2
Richard Ray,House,GA,Democrat,GA3
John Rhodes,House,AZ,Republican,AZ1
Matthew Rinaldo,House,NJ,Republican,NJ7
Donald Ritter,House,PA,Republican,PA15
Robert Roe,House,NJ,Democrat,NJ8
Martin Russo,House,IL,Democrat,IL3
Gus Savage,House,IL,Democrat,IL2
Richard Schulze,House,PA,Republican,PA5
John Seymour,Senate,CA,Republican,CA
Gerald Sikorski,House,MN,Democrat,MN6
Paul Simon,Senate,IL,Democrat,IL
Alan Simpson,Senate,WY,Republican,WY
Daniel Slaughter,House,VA,Republican,VA7
Lawrence Smith,House,FL,Democrat,FL16
Stephen Solarz,House,NY,Democrat,NY13
Harley Staggers,House,WV,Democrat,WV2
Richard Stallings,House,ID,Democrat,ID2
Robert Tallon,House,SC,Democrat,SC6
Robert Thomas,House,GA,Democrat,GA1
Jerome Traxler,House,MI,Democrat,MI8
Guy Vander Jagt,House,MI,Republican,MI9
John Weber,House,MN,Republican,MN2
Theodore Weiss,House,NY,Democrat,NY17
Harris Wofford,Senate,PA,Democrat,PA
Howard Wolpe,House,MI,Democrat,MI3
Gus Yatron,House,PA,Democrat,PA6
Michael Andrews,House,TX,Democrat,TX25
Thomas Andrews,House,ME,Democrat,ME1
Douglas Applegate,House,OH,Democrat,OH18
Leslie Aspin,House,WI,Democrat,WI1
James Bacchus,House,FL,Democrat,FL15
Peter Barca,House,WI,Democrat,WI1
Thomas Barlow,House,KY,Democrat,KY1
James Bilbray,House,NV,Democrat,NV1
Lucien Blackwell,House,PA,Democrat,PA2
Dale Bumpers,Senate,AR,Democrat,AR
Leslie Byrne,House,VA,Democrat,VA11
Milton Carr,House,MI,Democrat,MI8
Samuel Coppersmith,House,AZ,Democrat,AZ1
Alfonse D’Amato,Senate,NY,Republican,NY
George Darden,House,GA,Democrat,GA7
Butler Derrick,House,SC,Democrat,SC3
Glenn English,House,OK,Democrat,OK6
Karan English,House,AZ,Democrat,AZ6
Albert Espy,House,MS,Democrat,MS2
Duncan Faircloth,Senate,NC,Republican,NC
Eric Fingerhut,House,OH,Democrat,OH19
Hamilton Fish,House,NY,Republican,NY19
Thomas Foley,House,WA,Democrat,WA5
Wendell Ford,Senate,KY,Democrat,KY
William Ford,House,MI,Democrat,MI13
Dean Gallo,House,NJ,Republican,NJ11
Daniel Glickman,House,KS,Democrat,KS4
Willis Gradison,House,OH,Republican,OH2
Frederick Grandy,House,IA,Republican,IA5
Daniel Hamburg,House,CA,Democrat,CA1
Paul Henry,House,MI,Republican,MI3
Peter Hoagland,House,NE,Democrat,NE2
George Hochbrueckner,House,NY,Democrat,NY1
Michael Huffington,House,CA,Republican,CA22
William Hughes,House,NJ,Democrat,NJ2
Earl Hutto,House,FL,Democrat,FL1
Clete Johnson,House,GA,Democrat,GA1
Dirk Kempthorne,Senate,ID,Republican,ID
Herbert Klein,House,NJ,Democrat,NJ8
Michael Kopetski,House,OR,Democrat,OR5
Myron Kreidler,House,WA,Democrat,WA9
Robert Krueger,Senate,TX,Democrat,TX
Larry LaRocco,House,ID,Democrat,ID1
H. Lancaster,House,NC,Democrat,NC3
Richard Lehman,House,CA,Democrat,CA19
David Levy,House,NY,Republican,NY4
Thomas Lewis,House,FL,Republican,FL16
Marilyn Lloyd,House,TN,Democrat,TN3
Jill Long Thompson,House,IN,Democrat,IN4
Ronald Machtley,House,RI,Republican,RI1
David Mann,House,OH,Democrat,OH1
Marjorie Margolies-Mezvinsky,House,PA,Democrat,PA13
Harlan Mathews,Senate,TN,Democrat,TN
Romano Mazzoli,House,KY,Democrat,KY3
Alfred McCandless,House,CA,Republican,CA44
Francis McCloskey,House,IN,Democrat,IN8
David McCurdy,House,OK,Democrat,OK4
John McMillan,House,NC,Republican,NC9
Carol Moseley Braun,Senate,IL,Democrat,IL
Austin Murphy,House,PA,Democrat,PA2
Stephen Neal,House,NC,Democrat,NC5
Robert Packwood,Senate,OR,Republican,OR
Leon Panetta,House,CA,Democrat,CA17
Timothy Penny,House,MN,Democrat,MN1
Arthur Ravenel,House,SC,Republican,SC1
Thomas Ridge,House,PA,Republican,PA21
Daniel Rostenkowski,House,IL,Democrat,IL5
James Rowland,House,GA,Democrat,GA8
George Sangmeister,House,IL,Democrat,IL11
William Sarpalius,House,TX,Democrat,TX13
Lynn Schenk,House,CA,Democrat,CA49
Philip Sharp,House,IN,Democrat,IN2
Karen Shepherd,House,UT,Democrat,UT2
James Slattery,House,KS,Democrat,KS2
Donald Sundquist,House,TN,Republican,TN7
Richard Swett,House,NH,Democrat,NH2
Allan Swift,House,WA,Democrat,WA2
Michael Synar,House,OK,Democrat,OK2
Jolene Unsoeld,House,WA,Democrat,WA3
Itimous Valentine,House,NC,Democrat,NC2
Craig Washington,House,TX,Democrat,TX18
Alan Wheat,House,MO,Democrat,MO5
Ron de Lugo,House,VI,Democrat,VI
Spencer Abraham,Senate,MI,Republican,MI
John Ashcroft,Senate,MO,Republican,MO
William Baker,House,CA,Republican,CA1
Anthony Beilenson,House,CA,Democrat,CA24
Peter Blute,House,MA,Republican,MA3
William Brewster,House,OK,Democrat,OK3
John Browder,House,AL,Democrat,AL3
Richard Bryan,Senate,NV,Democrat,NV
John Bryant,House,TX,Democrat,TX5
Jim Bunn,House,OR,Republican,OR5
Jim Chapman,House,TX,Democrat,TX1
